"","Beschreibung","Positive Degree","Comparative Degree","Superlative Degree","Beispielsatz","","Adjektive:","23","Karteikarten:","67"
"3","cały","ganz","-","-","-","","","","",""
"7","szczęśliwy","glücklich","glücklicher","am glücklichsten","-","","","","",""
"11","zimny","kalt","kälter","am kältesten","-","","","","",""
"15","młody","jung","jünger","am jüngsten","-","","","","",""
"19","duży","groß","größer","am größten","-","","","","",""
"23","ciepły","warm","wärmer","am wärmsten","-","","","","",""
"27","spokojny","ruhig","ruhiger","am ruhigsten","-","","","","",""
"31","krótki","kurz","kürzer","am kürzesten","-","","","","",""
"35","smutny","traurig","trauriger","am traurigsten","-","","","","",""
"39","stary","alt","älter","am ältesten","-","","","","",""
"43","mały","klein","kleiner","am kleinsten","-","","","","",""
"47","długi","lang","länger","am längsten","-","","","","",""
"51","szybki","schnell","schneller","am schnellsten","-","","","","",""
"55","wolny (nieszybki)","langsam","langsamer","am langsamsten","-","","","","",""
"59","piękny","schön","schöner","am schönsten","-","","","","",""
"63","brzydki","hässlich","hässlicher","am hässlichsten","-","","","","",""
"67","słaby","schwach","schwächer","am schwächsten","-","","","","",""
"71","silny","stark","stärker","am stärksten","-","","","","",""
"75","zdrowy","gesund","gesünder","am gesündesten","-","","","","",""
"79","miły","nett","netter","am nettesten","-","","","","",""
"83","dziwny","komisch","komischer","am komischsten","-","","","","",""
"87","biedny","arm","ärmer","am ärmsten","-","","","","",""
"91","bogaty","reich","reicher","am reichsten","-","","","","",""
