Id,English Description,German Singular Form,German Plural Form,Source,,English Description Repetitions:,0
2,country,das Land,die Länder,Jens & Jakob,,German Singular Form Repetitions:,0
5,world,die Welt,die Welten,Jens & Jakob,,German Plural Form Repetitions:,0
8,human,der Mensch,die Menschen,Jens & Jakob,,Number of nouns:,64
11,"road, street",die Straße,die Straßen,Jens & Jakob,,Number of flashcards:,116
14,"ache, pain",der Schmerz,die Schmerzen,Jens & Jakob,,,
17,hand,die Hand,die Hände,Jens & Jakob,,Number of masculine nouns:,22
20,sparrow,der Spatz,die Spatzen,Jens & Jakob,,Number of feminine nouns:,27
23,parent,,die Eltern,Jens & Jakob,,Number of neuter nouns:,14
26,water,das Wasser,,Jens & Jakob,,,
29,alternative,die Alternative,die Alternativen,Jens & Jakob,,,
32,number,die Nummer,die Nummern,Jens & Jakob,,,
35,telephone,das Telefon,die Telefone,Jens & Jakob,,,
38,phone number,die Telefonnummer,die Telefonnummern,Jens & Jakob,,,
41,night,die Nacht,die Nächte,Jens & Jakob,,,
44,school,die Schule,die Schulen,Jens & Jakob,,,
47,kitchen,die Küche,die Küchen,Jens & Jakob,,,
50,father,der Vater,die Väter,Jens & Jakob,,,
53,table,der Tisch,die Tische,Jens & Jakob,,,
56,morning,der Morgen,die Morgen,Jens & Jakob,,,
59,newspaper,die Zeitung,die Zeitungen,Jens & Jakob,,,
62,mother,die Mutter,die Mütter,Jens & Jakob,,,
65,"bun, roll",das Brötchen,die Brötchen,Jens & Jakob,,,
68,jam,die Marmelade,die Marmeladen,Jens & Jakob,,,
71,cinnamon bun,die Zimtschnecke,die Zimtschnecken,Jens & Jakob,,,
74,cereal,das Müsli,,Jens & Jakob,,,
77,milk,die Milch,,Jens & Jakob,,,
80,banana,die Banane,die Bananen,Jens & Jakob,,,
83,slice,die Scheibe,die Scheiben,Jens & Jakob,,,
86,bread,das Brot,die Brote,Jens & Jakob,,,
89,ham,der Schinken,,Jens & Jakob,,,
92,cheese,der Käse,,Jens & Jakob,,,
95,butter,die Butter,,Jens & Jakob,,,
98,apple,der Apfel,die Äpfel,Jens & Jakob,,,
101,sausage,die Wurst,die Würste,Jens & Jakob,,,
104,honey,der Honig,,Jens & Jakob,,,
107,egg,das Ei,die Eier,Jens & Jakob,,,
110,coffee,der Kaffee,,Jens & Jakob,,,
113,tea,der Tee,,Jens & Jakob,,,
116,juice,der Saft,die Säfte,Jens & Jakob,,,
119,yoghurt,der Joghurt,,Jens & Jakob,,,
122,"journey, trip",die Reise,die Reisen,Frequency Dictionary,,,
125,"unit, unity",die Einheit,die Einheiten,Frequency Dictionary,,,
128,hair,das Haar,die Haare,Frequency Dictionary,,,
131,"proximity, vicinity",die Nähe,,Frequency Dictionary,,,
134,principle,das Prinzip,die Prinzipien,Frequency Dictionary,,,
137,advantage,der Vorteil,die Vorteile,Frequency Dictionary,,,
140,"alteration, change",die Änderung,die Änderungen,Frequency Dictionary,,,
143,exception,die Ausnahme,die Ausnahmen,Frequency Dictionary,,,
146,"construction, building",der Bau,die Bauten,Frequency Dictionary,,,
149,hobby,das Hobby,die Hobbys,Frequency Dictionary,,,
152,conflict,der Konflikt,die Konflikte,Frequency Dictionary,,,
155,"management, leadership, pipe",die Leitung,die Leitungen,Frequency Dictionary,,,
158,"passion, desire",die Lust,die Lüste,Frequency Dictionary,,,
161,majority,die Mehrheit,die Mehrheiten,Frequency Dictionary,,,
164,car (starts with A),das Auto,die Autos,Frequency Dictionary,,,
167,baby,das Baby,die Babys,Frequency Dictionary,,,
170,cinema,das Kino,die Kinos,Frequency Dictionary,,,
173,strike (by workers),der Streik,die Streiks,Frequency Dictionary,,,
176,hotel,das Hotel,die Hotels,Frequency Dictionary,,,
179,park,der Park,die Parks,Frequency Dictionary,,,
182,teacher (male),der Lehrer,die Lehrer,Frequency Dictionary,,,
185,teacher (female),die Lehrerin,die Lehrerinnen,Frequency Dictionary,,,
188,car (starts with W),der Wagen,die Wagen,Frequency Dictionary,,,
191,uncle,der Onkel,die Onkel,Frequency Dictionary,,,
