"Verified","Question","Answer","Example Sentence"
"TRUE","Ile masz lat?","Wie alt bist du?","Ich bin 25 Jahre alt."
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
"FALSE","","",""
