Id,Beschreibung,Infinitiv,Beispielsatz,,Verben:,203,Karteikarten:,2233
1,być,sein,-,,,,,
5,"wołać, krzyczeć",rufen,-,,,,,
9,śpiewać,singen,-,,,,,
13,tańczyć,tanzen,-,,,,,
17,leżeć,liegen,-,,,,,
21,mieć,haben,-,,,,,
25,myśleć,denken,-,,,,,
29,umierać,sterben,-,,,,,
33,żyć,leben,-,,,,,
37,widzieć,sehen,-,,,,,
41,pytać,fragen,-,,,,,
45,odpowiadać,antworten,-,,,,,
49,brać,nehmen,-,,,,,
53,spać,schlafen,-,,,,,
57,chcieć,wollen,-,,,,,
61,musieć,müssen,-,,,,,
65,"móc, potrafić",können,-,,,,,
69,nazywać się,heißen,-,,,,,
73,przychodzić,kommen,-,,,,,
77,mieszkać,wohnen,-,,,,,
81,mówić (na sp),sprechen,-,,,,,
85,rozumieć,verstehen,-,,,,,
89,znaczyć,bedeuten,-,,,,,
93,wiedzieć (na w),wissen,-,,,,,
97,robić (na m),machen,-,,,,,
101,potrzebować,brauchen,-,,,,,
105,jeść,essen,-,,,,,
109,mieć powinność,sollen,-,,,,,
113,mówić do kogoś na du,duzen,-,,,,,
117,mówić do kogoś na Sie,siezen,-,,,,,
121,mieć pozwolenie,dürfen,-,,,,,
125,budzić się,aufwachen,-,,,,,
129,wstawać,aufstehen,-,,,,,
133,jeść śniadanie,frühstücken,-,,,,,
137,zaczynać (na b),beginnen,-,,,,,
141,iść,gehen,-,,,,,
145,siedzieć,sitzen,-,,,,,
149,czytać,lesen,-,,,,,
153,słyszeć,hören,-,,,,,
157,zauważać,merken,-,,,,,
161,reagować,reagieren,-,,,,,
165,latać,fliegen,-,,,,,
169,próbować (na v),versuchen,-,,,,,
173,patrzeć (na a),ansehen,-,,,,,
177,lądować,landen,-,,,,,
181,zaczynać biec,loslaufen,-,,,,,
185,otwierać,öffnen,-,,,,,
189,wierzyć,glauben,-,,,,,
193,ćwiczyć,üben,-,,,,,
197,gapić się,gucken,-,,,,,
201,jechać,fahren,-,,,,,
205,rozmawiać,reden,-,,,,,
209,żreć,fressen,-,,,,,
213,pić,trinken,-,,,,,
217,dostawać,bekommen,-,,,,,
221,przynosić (na h),holen,-,,,,,
225,studiować,studieren,-,,,,,
229,pracować,arbeiten,-,,,,,
233,czekać,warten,-,,,,,
237,pokazywać (na z),zeigen,-,,,,,
241,sprzedawać,verkaufen,-,,,,,
245,iść dalej,weitergehen,-,,,,,
249,pomagać,helfen,-,,,,,
253,rozglądać się,umsehen,-,,,,,
257,znajdować,finden,-,,,,,
261,próbować (na p),probieren,-,,,,,
265,pasować,passen,-,,,,,
269,kupować,kaufen,-,,,,,
273,uczyć się,lernen,-,,,,,
277,śmiać się,lachen,-,,,,,
281,pokazywać (na a),aufzeigen,-,,,,,
285,motywować,motivieren,-,,,,,
289,biegać,laufen,-,,,,,
293,ciągnąć,ziehen,-,,,,,
297,ubierać się,anziehen,-,,,,,
301,rozbierać się,ausziehen,-,,,,,
305,dawać,geben,-,,,,,
309,płacić (na z),zahlen,-,,,,,
313,zamawiać,bestellen,-,,,,,
317,wiedzieć (na k),kennen,-,,,,,
321,lubić,mögen,-,,,,,
325,przynosić (na b),bringen,-,,,,,
329,spotykać się,treffen,-,,,,,
333,zastanawiać się (na ü),überlegen,-,,,,,
337,oddychać,atmen,-,,,,,
341,wdychać,einatmen,-,,,,,
345,dzwonić (dzwonkiem),läuten,-,,,,,
349,dzwonić (przez telefon),anrufen,-,,,,,
353,przestraszyć się,erschrecken,-,,,,,
357,mówić (na sa),sagen,-,,,,,
361,przedstawiać,vorstellen,-,,,,,
365,zmieniać (na ä),ändern,-,,,,,
369,brać prysznic,duschen,-,,,,,
373,jechać do domu,heimfahren,-,,,,,
377,grać,spielen,-,,,,,
381,oglądać telewizję,fernsehen,-,,,,,
385,zadawać (obrażenia),zufügen,-,,,,,
389,stać,stehen,-,,,,,
393,przyznawać się (do błędu),zugeben,-,,,,,
397,wieszać,hängen,-,,,,,
401,odwiedzać,besuchen,-,,,,,
405,zmieniać (na w),wechseln,-,,,,,
409,oferować,anbieten,-,,,,,
413,smakować,schmecken,-,,,,,
417,ustawiać,stellen,-,,,,,
421,kroić,schneiden,-,,,,,
425,walczyć,kämpfen,-,,,,,
429,zabijać,töten,-,,,,,
433,zaczynać (na a),anfangen,-,,,,,
437,odbierać,abholen,-,,,,,
441,czyścić,putzen,-,,,,,
445,zaczynać (na l),losgehen,-,,,,,
449,startować,starten,-,,,,,
453,podążać,folgen,-,,,,,
457,skręcać (w ulicę),abbiegen,-,,,,,
461,podskakiwać,hüpfen,-,,,,,
465,kraść (na k),klauen,-,,,,,
469,badać,untersuchen,-,,,,,
473,niszczyć,zerstört,-,,,,,
477,szukać,suchen,-,,,,,
481,przegrywać,verlieren,-,,,,,
485,pchać,schieben,-,,,,,
489,zamykać,schließen,-,,,,,
493,zamykać (na klucz),zuschließen,-,,,,,
497,patrzeć (na s),schauen,-,,,,,
501,zdarzać się,passieren,-,,,,,
505,wzdychać,seufzen,-,,,,,
509,uważać,aufpassen,-,,,,,
